,Compound,Date,Media Outlet,Negative,Neutral,Positive,Tweets Ago
47,-0.5267,Thu Aug 16 00:09:03 +0000 2018,@CBS,0.72,0.188,0.092,48
48,0.0,Sun Aug 12 23:30:02 +0000 2018,@CBS,1.0,0.0,0.0,49
49,0.4389,Sun Aug 12 15:04:59 +0000 2018,@CBS,0.874,0.0,0.126,50
50,-0.3182,Sat Aug 11 18:00:00 +0000 2018,@CBS,0.897,0.103,0.0,51
51,0.4926,Sat Aug 11 15:00:02 +0000 2018,@CBS,0.856,0.0,0.144,52
52,0.8957,Fri Aug 10 22:28:55 +0000 2018,@CBS,0.581,0.0,0.419,53
53,0.0,Fri Aug 10 19:59:14 +0000 2018,@CBS,1.0,0.0,0.0,54
54,0.6696,Thu Aug 09 21:00:00 +0000 2018,@CBS,0.745,0.0,0.255,55
55,0.7901,Thu Aug 09 18:47:00 +0000 2018,@CBS,0.72,0.0,0.28,56
56,0.6696,Wed Aug 08 16:05:11 +0000 2018,@CBS,0.791,0.0,0.209,57
57,0.0,Tue Aug 07 16:06:57 +0000 2018,@CBS,1.0,0.0,0.0,58
58,0.3612,Mon Aug 06 00:20:55 +0000 2018,@CBS,0.889,0.0,0.111,59
59,0.5411,Mon Aug 06 00:07:38 +0000 2018,@CBS,0.683,0.098,0.219,60
60,0.0,Mon Aug 27 23:36:57 +0000 2018,@CBS,1.0,0.0,0.0,61
61,-0.4389,Fri Aug 24 20:30:16 +0000 2018,@CBS,0.879,0.121,0.0,62
62,0.0,Wed Aug 22 20:55:25 +0000 2018,@CBS,1.0,0.0,0.0,63
63,0.0,Wed Aug 22 20:10:12 +0000 2018,@CBS,1.0,0.0,0.0,64
64,0.5423,Mon Aug 20 21:59:56 +0000 2018,@CBS,0.829,0.0,0.171,65
65,0.3182,Fri Aug 17 17:42:02 +0000 2018,@CBS,0.887,0.0,0.113,66
66,0.0,Thu Aug 16 18:40:09 +0000 2018,@CBS,1.0,0.0,0.0,67
67,-0.5267,Thu Aug 16 00:09:03 +0000 2018,@CBS,0.72,0.188,0.092,68
68,0.0,Sun Aug 12 23:30:02 +0000 2018,@CBS,1.0,0.0,0.0,69
69,0.4389,Sun Aug 12 15:04:59 +0000 2018,@CBS,0.874,0.0,0.126,70
70,-0.3182,Sat Aug 11 18:00:00 +0000 2018,@CBS,0.897,0.103,0.0,71
71,0.4926,Sat Aug 11 15:00:02 +0000 2018,@CBS,0.856,0.0,0.144,72
72,0.8957,Fri Aug 10 22:28:55 +0000 2018,@CBS,0.581,0.0,0.419,73
